Contexto;Estado;Data Estado;Escalão Etário;Nº Elem. Agregado;Nº Adultos;Concelho;Rendimento Global (IRS e Rend. Isentos)
Registo de Adesão;Registado;14/06/2023;35 a 65 anos;3;2;Lisboa;206,33
Registo de Adesão;Registado;05/11/2024;Menos 35 anos;1;1;Lisboa;211,98
Registo de Adesão;Registado;15/05/2023;Menos 35 anos;2;1;Lisboa;224,42
Registo de Adesão;Registado;07/11/2024;Mais de 65 anos;1;1;Lisboa;237,25
Registo de Adesão;Registado;16/06/2023;35 a 65 anos;3;2;Lisboa;238
Registo de Adesão;Registado;20/12/2023;35 a 65 anos;1;1;Palmela;274,8
Registo de Adesão;Registado;24/02/2023;Mais de 65 anos;3;3;Lisboa;280
Registo de Adesão;Registado;12/04/2023;Mais de 65 anos;1;1;Lisboa;281,25
Registo de Adesão;Registado;05/09/2023;Menos 35 anos;3;1;Lisboa;282,84
Registo de Adesão;Registado;22/03/2023;35 a 65 anos;2;2;Lisboa;300
Registo de Adesão;Registado;23/01/2023;Menos 35 anos;2;1;Vila Franca de Xira;317,18
Registo de Adesão;Registado;14/02/2023;35 a 65 anos;2;1;Lisboa;325
Registo de Adesão;Registado;20/12/2023;Menos 35 anos;1;1;Lisboa;325,5
Registo de Adesão;Registado;06/06/2023;35 a 65 anos;4;3;Lisboa;327,39
Registo de Adesão;Registado;23/12/2023;35 a 65 anos;1;1;Setúbal;328,5
Registo de Adesão;Registado;16/11/2023;Menos 35 anos;3;1;Lisboa;340,23
Registo de Adesão;Registado;13/10/2023;Menos 35 anos;1;1;Vila Franca de Xira;342
Registo de Adesão;Registado;20/07/2023;35 a 65 anos;1;1;Mafra;349,38
Registo de Adesão;Registado;21/08/2023;35 a 65 anos;1;1;Lisboa;352,5
Registo de Adesão;Registado;19/01/2023;Menos 35 anos;1;1;Coimbra;363,23
Registo de Adesão;Registado;09/02/2023;Menos 35 anos;2;2;Trancoso;391,22
Registo de Adesão;Registado;12/01/2023;35 a 65 anos;2;2;Lisboa;400
Registo de Adesão;Registado;07/11/2023;35 a 65 anos;3;1;Sintra;405,12
Registo de Adesão;Registado;05/11/2024;35 a 65 anos;1;1;Lisboa;408
Registo de Adesão;Registado;20/12/2023;35 a 65 anos;5;1;Odivelas;412
Registo de Adesão;Registado;24/01/2023;Menos 35 anos;2;2;Lisboa;417,05
Registo de Adesão;Registado;30/11/2023;35 a 65 anos;1;1;Lisboa;418
Registo de Adesão;Registado;27/01/2023;35 a 65 anos;3;2;Lisboa;438,81
Registo de Adesão;Registado;17/01/2023;35 a 65 anos;2;2;Lisboa;441,48
Registo de Adesão;Registado;26/02/2023;35 a 65 anos;1;1;Lisboa;449,62
Registo de Adesão;Registado;18/12/2023;Menos 35 anos;1;1;Lisboa;449,83
Registo de Adesão;Registado;03/03/2023;35 a 65 anos;2;1;Lisboa;450
Registo de Adesão;Registado;26/06/2023;35 a 65 anos;1;1;Lisboa;457
Registo de Adesão;Registado;05/10/2023;35 a 65 anos;2;2;Lisboa;462,83
Registo de Adesão;Registado;23/10/2023;35 a 65 anos;2;1;Lisboa;464,25
Registo de Adesão;Registado;10/07/2023;35 a 65 anos;2;1;Lisboa;468,35
Registo de Adesão;Registado;13/10/2023;35 a 65 anos;3;1;Lisboa;486,5
Registo de Adesão;Registado;27/12/2023;35 a 65 anos;1;1;Amadora;500
Registo de Adesão;Registado;07/10/2023;35 a 65 anos;2;2;Lisboa;500
Registo de Adesão;Registado;06/11/2024;35 a 65 anos;3;2;Lisboa;515,84
Registo de Adesão;Registado;25/10/2023;35 a 65 anos;2;1;Sintra;584,06
Registo de Adesão;Registado;04/02/2023;35 a 65 anos;2;1;Lisboa;585
Registo de Adesão;Registado;04/01/2023;Menos 35 anos;1;1;Lisboa;600,4
Registo de Adesão;Registado;14/11/2024;Menos 35 anos;2;1;Sintra;604
Registo de Adesão;Registado;05/01/2023;Menos 35 anos;1;1;Loures;604,78
Registo de Adesão;Registado;28/06/2023;35 a 65 anos;1;1;Lisboa;608,57
Registo de Adesão;Registado;31/01/2023;Menos 35 anos;3;2;Lisboa;632,74
Registo de Adesão;Registado;27/06/2023;35 a 65 anos;3;2;Lisboa;653
Registo de Adesão;Registado;25/12/2023;Menos 35 anos;1;1;Almada;657,87
Registo de Adesão;Registado;06/04/2023;35 a 65 anos;2;2;Montijo;661,98
Registo de Adesão;Registado;02/01/2023;Menos 35 anos;3;1;Oeiras;662,04
Registo de Adesão;Registado;25/10/2023;35 a 65 anos;1;1;Lisboa;667,5
Registo de Adesão;Registado;24/03/2023;35 a 65 anos;4;2;Lisboa;668,81
Registo de Adesão;Registado;12/01/2023;35 a 65 anos;1;1;Lisboa;675,32
Registo de Adesão;Registado;23/06/2023;35 a 65 anos;3;3;Lisboa;696,15
Registo de Adesão;Registado;26/01/2023;35 a 65 anos;3;2;Sintra;700
Registo de Adesão;Registado;31/01/2023;Menos 35 anos;1;1;Lisboa;701
Registo de Adesão;Registado;20/11/2023;35 a 65 anos;1;1;Lisboa;705
Registo de Adesão;Registado;11/01/2023;Menos 35 anos;2;2;Sintra;723,31
Registo de Adesão;Registado;26/09/2023;Menos 35 anos;1;1;Lisboa;733,94
Registo de Adesão;Registado;21/02/2023;35 a 65 anos;1;1;Lisboa;750,74
Registo de Adesão;Registado;03/01/2023;35 a 65 anos;1;1;Lisboa;759
Registo de Adesão;Registado;05/11/2024;Menos 35 anos;1;1;Lisboa;768,95
Registo de Adesão;Registado;10/04/2023;Menos 35 anos;2;1;Lisboa;769,45
Registo de Adesão;Registado;05/04/2023;Menos 35 anos;1;1;Oeiras;780,91
Registo de Adesão;Registado;13/01/2023;35 a 65 anos;1;1;Lisboa;782,21
Registo de Adesão;Registado;17/05/2023;Menos 35 anos;3;1;Loures;798,6
Registo de Adesão;Registado;03/06/2023;35 a 65 anos;4;2;Loures;800
Registo de Adesão;Registado;06/11/2024;35 a 65 anos;1;1;Odivelas;814
Registo de Adesão;Registado;09/03/2023;Menos 35 anos;1;1;Cascais;814,54
Registo de Adesão;Registado;09/03/2023;35 a 65 anos;2;1;Lisboa;814,92
Registo de Adesão;Registado;26/10/2023;35 a 65 anos;1;1;Lisboa;820
Registo de Adesão;Registado;09/11/2024;35 a 65 anos;1;1;Sintra;820
Registo de Adesão;Registado;31/05/2023;Menos 35 anos;1;1;Lisboa;822,68
Registo de Adesão;Registado;29/12/2023;35 a 65 anos;4;2;Lisboa;835,5
Registo de Adesão;Registado;17/01/2023;35 a 65 anos;1;1;Lisboa;840,58
Registo de Adesão;Registado;01/10/2023;35 a 65 anos;2;1;Sintra;844
Registo de Adesão;Registado;03/01/2023;35 a 65 anos;3;1;Lisboa;846,14
Registo de Adesão;Registado;08/11/2024;35 a 65 anos;3;1;Lisboa;846,33
Registo de Adesão;Registado;02/11/2023;Menos 35 anos;2;1;Lisboa;853,56
Registo de Adesão;Registado;22/05/2023;35 a 65 anos;3;2;Vila Franca de Xira;866
Registo de Adesão;Registado;05/04/2023;35 a 65 anos;1;1;Lisboa;890,79
Registo de Adesão;Registado;09/02/2023;35 a 65 anos;5;1;Lisboa;908,73
Registo de Adesão;Registado;11/01/2023;Menos 35 anos;1;1;Lisboa;942,48
Registo de Adesão;Registado;06/11/2024;Menos 35 anos;3;1;Almada;949,82
Registo de Adesão;Registado;17/07/2023;Menos 35 anos;1;1;Oeiras;953,59
Registo de Adesão;Registado;30/01/2023;35 a 65 anos;2;1;Lisboa;971,25
Registo de Adesão;Registado;06/11/2024;Menos 35 anos;2;1;Lisboa;979,99
Registo de Adesão;Registado;10/04/2023;35 a 65 anos;3;1;Lisboa;989,67
Registo de Adesão;Registado;04/11/2024;35 a 65 anos;3;1;Lisboa;1030,33
Registo de Adesão;Registado;10/02/2023;Mais de 65 anos;2;2;Lisboa;1033,14
Registo de Adesão;Registado;16/01/2023;35 a 65 anos;2;1;Lisboa;1047,22
Registo de Adesão;Registado;11/04/2023;35 a 65 anos;2;2;Lisboa;1064,51
Registo de Adesão;Registado;05/04/2023;35 a 65 anos;1;1;Loures;1071,48
Registo de Adesão;Registado;16/01/2023;Menos 35 anos;2;1;Sintra;1077,63
Registo de Adesão;Registado;01/10/2023;Menos 35 anos;2;2;Lisboa;1085,17
Registo de Adesão;Registado;11/04/2023;35 a 65 anos;2;1;Lisboa;1086,89
Registo de Adesão;Registado;12/12/2023;Mais de 65 anos;3;2;Lisboa;1110
Registo de Adesão;Registado;09/02/2023;Menos 35 anos;1;1;Lisboa;1125,65
Registo de Adesão;Registado;28/02/2023;Menos 35 anos;1;1;Lisboa;1144,64
Registo de Adesão;Registado;18/05/2023;35 a 65 anos;2;2;Lisboa;1146,67
Registo de Adesão;Registado;11/01/2023;35 a 65 anos;1;1;Odivelas;1148,74
Registo de Adesão;Registado;10/04/2023;35 a 65 anos;3;1;Lisboa;1153,18
Registo de Adesão;Registado;30/10/2023;35 a 65 anos;2;1;Amadora;1158
Registo de Adesão;Registado;08/10/2023;35 a 65 anos;1;1;Lisboa;1178,8
Registo de Adesão;Registado;03/07/2023;Menos 35 anos;1;1;Lisboa;1180
Registo de Adesão;Registado;04/07/2023;Menos 35 anos;2;2;Lisboa;1183,57
Registo de Adesão;Registado;05/11/2024;Menos 35 anos;1;1;Vila Franca de Xira;1191,67
Registo de Adesão;Registado;09/01/2023;Menos 35 anos;1;1;Anadia;1197
Registo de Adesão;Registado;20/12/2023;35 a 65 anos;1;1;Lisboa;1199,64
Registo de Adesão;Registado;13/01/2023;Menos 35 anos;1;1;Amadora;1203,75
Registo de Adesão;Registado;12/06/2023;35 a 65 anos;4;3;Amadora;1204,31
Registo de Adesão;Registado;28/06/2023;Menos 35 anos;2;1;Lisboa;1211,03
Registo de Adesão;Registado;20/12/2023;Menos 35 anos;5;1;Lisboa;1213,14
Registo de Adesão;Registado;12/02/2023;Menos 35 anos;1;1;Lisboa;1218
Registo de Adesão;Registado;26/01/2023;35 a 65 anos;2;2;Lisboa;1222,56
Registo de Adesão;Registado;26/11/2023;Menos 35 anos;1;1;Lisboa;1225,69
Registo de Adesão;Registado;19/01/2023;35 a 65 anos;2;2;Almada;1226,5
Registo de Adesão;Registado;28/09/2023;35 a 65 anos;3;2;Lisboa;1230,99
Registo de Adesão;Registado;06/06/2023;Menos 35 anos;4;2;Lisboa;1242,01
Registo de Adesão;Registado;04/10/2023;Menos 35 anos;4;4;Sintra;1244,4
Registo de Adesão;Registado;06/09/2023;Menos 35 anos;1;1;Barreiro;1256,53
Registo de Adesão;Registado;02/01/2023;Menos 35 anos;2;1;Seixal;1258,36
Registo de Adesão;Registado;06/02/2023;Menos 35 anos;1;1;Lisboa;1260
Registo de Adesão;Registado;18/01/2023;35 a 65 anos;1;1;Lisboa;1274,11
Registo de Adesão;Registado;23/02/2023;35 a 65 anos;1;1;Lisboa;1281,95
Registo de Adesão;Registado;19/01/2023;35 a 65 anos;1;1;Lisboa;1289
Registo de Adesão;Registado;05/11/2024;35 a 65 anos;1;1;Amadora;1290,79
Registo de Adesão;Registado;24/01/2023;Menos 35 anos;2;2;Lisboa;1292,24
Registo de Adesão;Registado;23/04/2023;35 a 65 anos;1;1;Odivelas;1296,25
Registo de Adesão;Registado;05/11/2024;35 a 65 anos;4;1;Lisboa;1311,55
Registo de Adesão;Registado;04/10/2023;Menos 35 anos;1;1;Lisboa;1325,6
Registo de Adesão;Registado;14/01/2023;35 a 65 anos;1;1;Almada;1335
Registo de Adesão;Registado;18/01/2023;35 a 65 anos;1;1;Montijo;1343,65
Registo de Adesão;Registado;05/06/2023;Menos 35 anos;1;1;Lisboa;1350
Registo de Adesão;Registado;11/01/2023;35 a 65 anos;2;2;Sintra;1372,11
Registo de Adesão;Registado;10/06/2023;Menos 35 anos;1;1;Lisboa;1384,73
Registo de Adesão;Registado;24/07/2023;Menos 35 anos;5;1;Lisboa;1386,72
Registo de Adesão;Registado;06/02/2023;Menos 35 anos;3;2;Lisboa;1398,59
Registo de Adesão;Registado;07/11/2024;Menos 35 anos;3;2;Loures;1408,74
Registo de Adesão;Registado;22/11/2023;Menos 35 anos;1;1;Lisboa;1410
Registo de Adesão;Registado;03/07/2023;35 a 65 anos;4;2;Lisboa;1410
Registo de Adesão;Registado;16/11/2023;Menos 35 anos;1;1;Lisboa;1410
Registo de Adesão;Registado;04/12/2023;35 a 65 anos;1;1;Lisboa;1410
Registo de Adesão;Registado;03/02/2023;35 a 65 anos;2;2;Lisboa;1414,07
Registo de Adesão;Registado;27/04/2023;Menos 35 anos;1;1;Lisboa;1442,96
Registo de Adesão;Registado;25/08/2023;Menos 35 anos;2;2;Lisboa;1453,1
Registo de Adesão;Registado;01/11/2023;35 a 65 anos;1;1;Lisboa;1453,71
Registo de Adesão;Registado;23/03/2023;35 a 65 anos;1;1;Lisboa;1489,8
Registo de Adesão;Registado;17/01/2023;35 a 65 anos;1;1;Sintra;1495,87
Registo de Adesão;Registado;23/10/2023;35 a 65 anos;3;3;Lisboa;1500
Registo de Adesão;Registado;06/11/2024;35 a 65 anos;3;1;Lisboa;1527,73
Registo de Adesão;Registado;13/12/2023;Menos 35 anos;3;1;Lisboa;1527,82
Registo de Adesão;Registado;13/12/2023;35 a 65 anos;1;1;Lisboa;1560
Registo de Adesão;Registado;01/10/2023;Menos 35 anos;1;1;Loures;1576,09
Registo de Adesão;Registado;04/02/2023;35 a 65 anos;1;1;Almada;1582
Registo de Adesão;Registado;05/01/2023;Menos 35 anos;1;1;Leiria;1583
Registo de Adesão;Registado;09/11/2024;35 a 65 anos;3;2;Lisboa;1590,09
Registo de Adesão;Registado;17/04/2023;Menos 35 anos;3;1;Sintra;1596,65
Registo de Adesão;Registado;03/01/2023;Menos 35 anos;1;1;Lisboa;1598,32
Registo de Adesão;Registado;05/11/2024;35 a 65 anos;1;1;Lisboa;1600
Registo de Adesão;Registado;01/03/2023;35 a 65 anos;3;2;Lisboa;1603,87
Registo de Adesão;Registado;08/11/2023;Menos 35 anos;1;1;Lisboa;1621,92
Registo de Adesão;Registado;03/01/2023;35 a 65 anos;2;1;Lisboa;1624,36
Registo de Adesão;Registado;03/11/2024;Menos 35 anos;2;1;Lisboa;1630,62
Registo de Adesão;Registado;04/09/2023;Menos 35 anos;3;1;Lisboa;1635,39
Registo de Adesão;Registado;04/01/2023;35 a 65 anos;1;1;Lisboa;1653,18
Registo de Adesão;Registado;28/12/2023;Menos 35 anos;1;1;Sintra;1665
Registo de Adesão;Registado;29/04/2023;Menos 35 anos;1;1;Vila Franca de Xira;1667,08
Registo de Adesão;Registado;19/01/2023;Menos 35 anos;2;1;Amadora;1672,28
Registo de Adesão;Registado;20/01/2023;35 a 65 anos;1;1;Oeiras;1678,98
Registo de Adesão;Registado;21/09/2023;35 a 65 anos;2;2;Lisboa;1686,02
Registo de Adesão;Registado;02/02/2023;Menos 35 anos;1;1;Lisboa;1687,02
Registo de Adesão;Registado;11/10/2023;Menos 35 anos;3;2;Lisboa;1690,3
Registo de Adesão;Registado;18/04/2023;35 a 65 anos;4;2;Lisboa;1710,12
Registo de Adesão;Registado;28/02/2023;Menos 35 anos;1;1;Lisboa;1725,58
Registo de Adesão;Registado;20/10/2023;Menos 35 anos;1;1;Lisboa;1730,69
Registo de Adesão;Registado;23/01/2023;35 a 65 anos;1;1;Lisboa;1732,5
Registo de Adesão;Registado;04/06/2023;Menos 35 anos;2;1;Lisboa;1749,76
Registo de Adesão;Registado;24/05/2023;Menos 35 anos;2;1;Lisboa;1756,16
Registo de Adesão;Registado;04/01/2023;35 a 65 anos;4;2;Lisboa;1756,5
Registo de Adesão;Registado;16/01/2023;Menos 35 anos;1;1;Sintra;1759,93
Registo de Adesão;Registado;04/04/2023;Menos 35 anos;3;2;Lisboa;1764,89
Registo de Adesão;Registado;24/01/2023;35 a 65 anos;1;1;Lisboa;1765,06
Registo de Adesão;Registado;18/08/2023;Menos 35 anos;2;1;Lisboa;1773,9
Registo de Adesão;Registado;24/10/2023;Menos 35 anos;1;1;Lisboa;1783,9
Registo de Adesão;Registado;04/06/2023;Menos 35 anos;1;1;Lisboa;1786,24
Registo de Adesão;Registado;31/05/2023;35 a 65 anos;1;1;Lisboa;1794,77
Registo de Adesão;Registado;29/06/2023;35 a 65 anos;2;1;Lisboa;1797,85
Registo de Adesão;Registado;09/03/2023;Menos 35 anos;1;1;Lisboa;1798,13
Registo de Adesão;Registado;28/03/2023;35 a 65 anos;1;1;Lisboa;1814,65
Registo de Adesão;Registado;21/04/2023;35 a 65 anos;1;1;Évora;1818
Registo de Adesão;Registado;06/11/2024;Menos 35 anos;2;1;Lisboa;1823,02
Registo de Adesão;Registado;05/06/2023;Menos 35 anos;2;2;Oeiras;1823,84
Registo de Adesão;Registado;06/11/2023;35 a 65 anos;2;1;Lisboa;1834,09
Registo de Adesão;Registado;26/06/2023;Mais de 65 anos;2;2;Lisboa;1837,5
Registo de Adesão;Registado;16/06/2023;35 a 65 anos;3;2;Lisboa;1837,97
Registo de Adesão;Registado;14/06/2023;35 a 65 anos;1;1;Lisboa;1838,26
Registo de Adesão;Registado;06/10/2023;35 a 65 anos;1;1;Lisboa;1838,35
Registo de Adesão;Registado;28/03/2023;Menos 35 anos;1;1;Lisboa;1845,13
Registo de Adesão;Registado;20/12/2023;Menos 35 anos;1;1;Vila do Conde;1864,18
Registo de Adesão;Registado;10/04/2023;Menos 35 anos;1;1;Lisboa;1867,72
Registo de Adesão;Registado;20/11/2023;Menos 35 anos;2;2;Lisboa;1869
Registo de Adesão;Registado;04/01/2023;Menos 35 anos;1;1;Lisboa;1875
Registo de Adesão;Registado;14/10/2023;Menos 35 anos;1;1;Sesimbra;1879,4
Registo de Adesão;Registado;10/01/2023;Menos 35 anos;2;1;Oeiras;1880,4
Registo de Adesão;Registado;19/09/2023;35 a 65 anos;1;1;Lisboa;1882,25
Registo de Adesão;Registado;12/09/2023;Menos 35 anos;1;1;Lisboa;1885,12
Registo de Adesão;Registado;07/11/2023;Menos 35 anos;2;2;Lisboa;1890,46
Registo de Adesão;Registado;05/11/2024;Menos 35 anos;1;1;Lisboa;1894,29
Registo de Adesão;Registado;20/02/2023;Menos 35 anos;4;2;Lisboa;1903,06
Registo de Adesão;Registado;14/03/2023;35 a 65 anos;3;1;Lisboa;1908
Registo de Adesão;Registado;10/01/2023;35 a 65 anos;3;2;Lisboa;1913,1
Registo de Adesão;Registado;05/11/2024;35 a 65 anos;3;1;Lisboa;1923
Registo de Adesão;Registado;11/05/2023;35 a 65 anos;4;3;Lisboa;1944
Registo de Adesão;Registado;27/11/2023;Menos 35 anos;2;1;Loures;1955,31
Registo de Adesão;Registado;17/01/2023;Menos 35 anos;3;2;Odivelas;1957
Registo de Adesão;Registado;18/03/2023;Menos 35 anos;1;1;Lisboa;1963,84
Registo de Adesão;Registado;12/10/2023;35 a 65 anos;2;2;Lisboa;1965,07
Registo de Adesão;Registado;08/10/2023;Menos 35 anos;1;1;Almada;1972,85
Registo de Adesão;Registado;20/02/2023;Menos 35 anos;1;1;Odivelas;1975,99
Registo de Adesão;Registado;05/04/2023;35 a 65 anos;4;1;Lisboa;2000,25
Registo de Adesão;Registado;22/06/2023;Mais de 65 anos;1;1;Lisboa;2002,04
Registo de Adesão;Registado;21/02/2023;35 a 65 anos;3;2;Lisboa;2020,85
Registo de Adesão;Registado;07/03/2023;35 a 65 anos;1;1;Lisboa;2021,28
Registo de Adesão;Registado;31/05/2023;Menos 35 anos;2;2;Lisboa;2029
Registo de Adesão;Registado;13/12/2023;35 a 65 anos;1;1;Almada;2034,6
Registo de Adesão;Registado;16/06/2023;Mais de 65 anos;1;1;Lisboa;2035,31
Registo de Adesão;Registado;02/06/2023;Menos 35 anos;5;2;Lisboa;2044,77
Registo de Adesão;Registado;22/02/2023;Menos 35 anos;3;2;Lisboa;2053,81
Registo de Adesão;Registado;10/02/2023;Menos 35 anos;2;1;Lisboa;2057,36
Registo de Adesão;Registado;25/04/2023;Menos 35 anos;1;1;Ourique;2067,4
Registo de Adesão;Registado;08/02/2023;35 a 65 anos;2;2;Lisboa;2071,72
Registo de Adesão;Registado;08/03/2023;35 a 65 anos;3;2;Lisboa;2089
Registo de Adesão;Registado;23/01/2023;35 a 65 anos;2;2;Vila Franca de Xira;2090,1
Registo de Adesão;Registado;24/06/2023;Menos 35 anos;2;2;Lisboa;2100
Registo de Adesão;Registado;08/11/2024;Menos 35 anos;3;1;Lisboa;2100
Registo de Adesão;Registado;16/01/2023;35 a 65 anos;1;1;Lisboa;2106,93
Registo de Adesão;Registado;20/01/2023;Menos 35 anos;1;1;Moita;2107,12
Registo de Adesão;Registado;24/01/2023;35 a 65 anos;1;1;Lisboa;2112,31
Registo de Adesão;Registado;04/12/2023;35 a 65 anos;1;1;Lisboa;2115
Registo de Adesão;Registado;21/11/2023;35 a 65 anos;3;2;Lisboa;2115
Registo de Adesão;Registado;19/06/2023;Menos 35 anos;2;2;Sintra;2144,33
Registo de Adesão;Registado;02/05/2023;Menos 35 anos;1;1;Loures;2153,34
Registo de Adesão;Registado;16/05/2023;35 a 65 anos;3;2;Vila Franca de Xira;2167,18
Registo de Adesão;Registado;24/01/2023;35 a 65 anos;2;2;Lisboa;2167,94
Registo de Adesão;Registado;21/11/2023;35 a 65 anos;1;1;Odivelas;2174,6
Registo de Adesão;Registado;03/01/2023;Menos 35 anos;3;2;Vila Nova de Gaia;2194,84
Registo de Adesão;Registado;13/02/2023;35 a 65 anos;4;4;Sintra;2211,9
Registo de Adesão;Registado;28/12/2023;35 a 65 anos;2;2;Sintra;2216
Registo de Adesão;Registado;05/11/2024;Menos 35 anos;3;1;Lisboa;2222
Registo de Adesão;Registado;30/01/2023;Menos 35 anos;4;1;Odivelas;2223,78
Registo de Adesão;Registado;11/11/2024;35 a 65 anos;2;2;Lisboa;2224,62
Registo de Adesão;Registado;18/07/2023;Menos 35 anos;1;1;Santarém;2228,66
Registo de Adesão;Registado;02/02/2023;Menos 35 anos;7;2;Lisboa;2252,87
Registo de Adesão;Registado;09/11/2023;Menos 35 anos;1;1;Amadora;2258,42
Registo de Adesão;Registado;23/02/2023;Menos 35 anos;2;2;Amadora;2279,19
Registo de Adesão;Registado;30/03/2023;Menos 35 anos;2;1;Lisboa;2279,92
Registo de Adesão;Registado;21/04/2023;Menos 35 anos;1;1;Lisboa;2291,25
Registo de Adesão;Registado;18/01/2023;Menos 35 anos;3;1;Sintra;2304,89
Registo de Adesão;Registado;09/03/2023;Mais de 65 anos;2;2;Lisboa;2313,28
Registo de Adesão;Registado;18/07/2023;35 a 65 anos;1;1;Lisboa;2313,82
Registo de Adesão;Registado;06/09/2023;35 a 65 anos;3;2;Lisboa;2314,81
Registo de Adesão;Registado;03/01/2023;Menos 35 anos;1;1;Lisboa;2322,89
Registo de Adesão;Registado;22/09/2023;Menos 35 anos;1;1;Lisboa;2337,91
Registo de Adesão;Registado;11/02/2023;Menos 35 anos;2;1;Barreiro;2339,94
Registo de Adesão;Registado;27/09/2023;Menos 35 anos;1;1;Lisboa;2343,07
Registo de Adesão;Registado;09/05/2023;Menos 35 anos;3;1;Lisboa;2346,61
Registo de Adesão;Registado;13/02/2023;35 a 65 anos;2;1;Loures;2347,78
Registo de Adesão;Registado;21/12/2023;Menos 35 anos;3;1;Lisboa;2357,95
Registo de Adesão;Registado;26/01/2023;Menos 35 anos;1;1;Lisboa;2358,75
Registo de Adesão;Registado;30/09/2023;Menos 35 anos;1;1;Lisboa;2361,48
Registo de Adesão;Registado;21/04/2023;Menos 35 anos;2;2;Lisboa;2362,46
Registo de Adesão;Registado;18/01/2023;Menos 35 anos;1;1;Lisboa;2367,81
Registo de Adesão;Registado;24/01/2023;Menos 35 anos;1;1;Lisboa;2375,71
Registo de Adesão;Registado;19/10/2023;35 a 65 anos;1;1;Lisboa;2379
Registo de Adesão;Registado;17/05/2023;Menos 35 anos;1;1;Mafra;2381,2
Registo de Adesão;Registado;10/11/2024;35 a 65 anos;1;1;Moita;2395
Registo de Adesão;Registado;16/02/2023;Menos 35 anos;2;2;Lisboa;2400
Registo de Adesão;Registado;24/11/2023;35 a 65 anos;3;3;Lisboa;2400
Registo de Adesão;Registado;03/10/2023;35 a 65 anos;2;1;Vila Franca de Xira;2417,32
Registo de Adesão;Registado;16/01/2023;Menos 35 anos;2;1;Lisboa;2447,22
Registo de Adesão;Registado;14/08/2023;Menos 35 anos;1;1;Lisboa;2448,06
Registo de Adesão;Registado;11/02/2023;35 a 65 anos;4;3;Almada;2452,52
Registo de Adesão;Registado;01/08/2023;35 a 65 anos;2;2;Lisboa;2459,36
Registo de Adesão;Registado;17/02/2023;35 a 65 anos;3;3;Lisboa;2465,57
Registo de Adesão;Registado;27/06/2023;Menos 35 anos;1;1;Lisboa;2470,84
Registo de Adesão;Registado;10/02/2023;Menos 35 anos;2;2;Lisboa;2481,09
Registo de Adesão;Registado;15/02/2023;Mais de 65 anos;1;1;Lisboa;2492,41
Registo de Adesão;Registado;06/01/2023;35 a 65 anos;2;2;Lisboa;2497,31
Registo de Adesão;Registado;20/01/2023;Menos 35 anos;1;1;Lisboa;2502,53
Registo de Adesão;Registado;05/11/2024;Menos 35 anos;1;1;Lisboa;2506
Registo de Adesão;Registado;22/12/2023;35 a 65 anos;1;1;Oeiras;2511,99
Registo de Adesão;Registado;06/12/2023;35 a 65 anos;1;1;Lisboa;2512,41
Registo de Adesão;Registado;02/01/2023;35 a 65 anos;4;4;Lisboa;2516,16
Registo de Adesão;Registado;08/02/2023;Menos 35 anos;2;1;Lisboa;2516,76
Registo de Adesão;Registado;25/01/2023;35 a 65 anos;1;1;Loures;2517,24
Registo de Adesão;Registado;06/10/2023;35 a 65 anos;1;1;Lisboa;2517,57
Registo de Adesão;Registado;02/05/2023;35 a 65 anos;1;1;Lisboa;2517,83
Registo de Adesão;Registado;07/07/2023;35 a 65 anos;2;2;Lisboa;2520
Registo de Adesão;Registado;27/06/2023;Menos 35 anos;1;1;Lisboa;2526,82
Registo de Adesão;Registado;24/10/2023;Menos 35 anos;1;1;Lisboa;2529
Registo de Adesão;Registado;06/11/2023;Mais de 65 anos;1;1;Lisboa;2530,09
Registo de Adesão;Registado;09/10/2023;Menos 35 anos;1;1;Lisboa;2530,23
Registo de Adesão;Registado;24/01/2023;35 a 65 anos;1;1;Moita;2544,16
Registo de Adesão;Registado;11/12/2023;35 a 65 anos;4;3;Lisboa;2550,15
Registo de Adesão;Registado;07/12/2023;35 a 65 anos;3;2;Lisboa;2559,92
Registo de Adesão;Registado;26/04/2023;35 a 65 anos;1;1;Lisboa;2562
Registo de Adesão;Registado;27/01/2023;Menos 35 anos;3;1;Lisboa;2563,02
Registo de Adesão;Registado;08/06/2023;Menos 35 anos;1;1;Lisboa;2585,62
Registo de Adesão;Registado;02/08/2023;Menos 35 anos;1;1;Funchal;2586,07
Registo de Adesão;Registado;29/12/2023;35 a 65 anos;4;2;Abrantes;2587,5
Registo de Adesão;Registado;08/10/2023;35 a 65 anos;3;2;Lisboa;2591,61
Registo de Adesão;Registado;18/01/2023;Menos 35 anos;2;1;Sintra;2597,09
Registo de Adesão;Registado;22/03/2023;35 a 65 anos;2;1;Lisboa;2597,96
Registo de Adesão;Registado;10/10/2023;Mais de 65 anos;1;1;Lisboa;2598,51
Registo de Adesão;Registado;17/01/2023;35 a 65 anos;3;2;Lisboa;2601,09
Registo de Adesão;Registado;16/01/2023;Menos 35 anos;1;1;Calheta (Madeira);2609,16
Registo de Adesão;Registado;24/07/2023;35 a 65 anos;1;1;Lisboa;2612,42
Registo de Adesão;Registado;06/11/2024;Menos 35 anos;3;1;Lisboa;2616,27
Registo de Adesão;Registado;20/11/2023;35 a 65 anos;2;1;Lisboa;2623,17
Registo de Adesão;Registado;05/11/2024;35 a 65 anos;1;1;Lisboa;2625,49
